freq,W1,W2,W3,W4,W5,W6,W7,W8,L1,L2,L3,L4,S11r,S11i,S21r,S21i,S31r,S31i,S41r,S41i
2.6,2.2,2.9,1.8,3.7,1.7,4.3,4.1,3.3,30.9,24.7,54.0,77.9,-0.532,0.365,-0.519,-0.124,-0.239,-0.068,-0.417,-0.211
2.6,3.0,1.3,2.1,3.0,2.1,3.6,2.0,3.5,13.0,33.9,9.3,56.3,-0.427,0.353,-0.507,-0.124,0.108,0.268,-0.42,-0.382
2.6,3.4,1.7,1.4,5.0,5.0,4.2,3.1,2.2,36.2,9.9,99.6,22.5,-0.653,0.124,-0.237,-0.492,0.242,0.243,-0.265,0.231
2.6,4.1,3.7,2.4,2.5,3.9,3.8,1.5,4.9,26.5,33.4,13.9,39.7,-0.406,0.181,-0.537,0.211,0.438,0.136,-0.48,-0.134
2.6,3.8,1.4,1.5,1.8,1.6,4.7,1.4,4.4,87.9,77.4,26.5,51.5,-0.514,0.016,0.298,-0.59,-0.207,-0.056,0.009,-0.472
2.6,1.1,3.4,4.9,2.9,2.7,3.8,4.2,2.5,20.4,93.2,57.2,67.1,-0.417,0.436,-0.389,-0.299,-0.298,-0.412,-0.298,-0.15
2.6,3.9,4.5,4.6,4.8,1.2,4.8,1.4,2.5,78.8,39.3,72.5,71.0,-0.721,0.519,0.065,0.243,-0.015,0.055,-0.125,-0.323
2.6,1.1,4.3,2.3,2.3,1.1,3.2,3.0,3.0,5.4,80.2,36.9,80.6,0.123,0.822,0.281,-0.149,-0.276,0.144,0.267,0.036
2.6,1.5,1.6,3.2,4.6,2.2,3.8,3.6,2.0,98.5,54.5,53.6,80.2,0.074,-0.12,0.275,-0.152,-0.653,0.336,-0.483,-0.224
2.6,3.7,3.2,2.5,4.8,2.7,2.1,2.3,4.0,51.6,33.1,44.7,28.0,-0.544,0.08,-0.401,0.282,-0.003,-0.574,-0.086,0.323
2.6,2.9,3.6,2.7,1.1,1.1,4.7,2.6,3.5,21.0,77.4,47.2,5.8,-0.441,-0.014,0.118,-0.687,0.058,0.202,-0.079,-0.498
2.6,3.7,2.8,2.1,3.9,1.9,2.4,2.1,2.4,60.0,74.7,26.8,96.4,-0.543,0.222,0.214,-0.374,-0.395,-0.213,0.355,0.348
2.6,2.1,1.1,2.7,4.6,4.9,4.1,2.5,3.5,55.7,45.0,79.0,82.0,0.104,0.627,0.114,0.24,0.368,0.322,0.306,0.4
2.6,4.4,2.3,4.5,1.1,1.4,4.2,1.3,4.8,58.8,73.0,24.9,82.7,-0.756,0.052,0.118,-0.443,0.066,-0.311,0.24,0.179
2.6,3.8,3.6,1.2,3.2,2.7,1.2,2.4,2.1,66.9,53.0,19.9,43.9,-0.546,0.112,0.492,0.464,-0.055,-0.066,0.249,0.38
2.6,2.9,4.4,4.1,3.7,4.4,4.0,2.1,3.4,97.4,96.9,35.2,88.8,-0.653,0.33,-0.242,-0.173,0.272,0.271,-0.383,-0.237
2.6,1.8,1.8,2.9,2.3,1.4,3.3,1.8,4.9,24.0,97.5,79.8,69.4,-0.103,0.205,-0.438,-0.347,-0.373,-0.191,-0.655,-0.086
2.6,2.9,3.4,4.6,1.6,2.0,4.2,1.8,3.5,64.8,12.1,13.3,14.0,-0.444,0.483,-0.25,-0.421,-0.133,-0.248,0.482,0.098
2.6,2.1,3.1,1.2,4.4,2.0,4.7,4.6,2.9,85.5,32.8,12.2,43.6,-0.534,0.414,-0.319,0.091,0.104,0.438,-0.176,-0.431
2.6,3.6,2.1,4.2,2.8,1.4,4.2,4.0,4.1,97.0,99.6,85.9,57.1,-0.297,0.271,-0.373,-0.196,-0.152,0.023,-0.76,-0.172
2.6,4.1,3.3,1.6,4.8,1.4,1.1,2.2,3.4,5.7,71.1,22.9,76.5,-0.526,0.195,0.358,-0.164,-0.256,-0.404,-0.141,-0.517
2.6,3.8,2.7,1.1,4.5,1.6,3.0,1.8,4.9,8.5,72.1,55.0,30.6,-0.4,0.077,0.522,-0.23,0.171,0.457,-0.14,-0.482
2.6,3.6,3.6,4.7,2.9,4.0,2.5,4.4,1.1,82.1,11.6,73.1,77.8,-0.486,0.378,-0.271,-0.332,-0.23,-0.409,-0.087,-0.437
2.6,4.0,2.4,4.4,4.1,2.6,1.1,4.0,1.9,97.4,75.5,44.6,49.8,-0.314,0.558,0.236,-0.196,0.076,0.222,-0.578,-0.282
2.6,1.6,2.1,3.9,2.5,2.4,4.1,4.9,4.8,70.2,71.5,96.9,96.1,-0.397,0.6,0.299,-0.116,-0.468,-0.113,0.341,-0.091
2.6,1.3,1.8,3.4,2.5,3.3,3.1,1.3,2.7,68.9,30.8,60.6,11.1,-0.583,0.399,-0.173,0.188,-0.148,-0.562,0.242,-0.149
2.6,4.9,4.2,4.1,1.6,1.3,2.3,4.8,2.9,10.9,16.0,14.0,44.3,-0.578,-0.088,-0.269,-0.223,-0.082,0.308,-0.118,-0.642
2.6,3.7,2.9,3.3,3.5,3.7,3.0,4.0,4.6,6.5,55.5,81.8,69.2,0.39,0.23,-0.473,-0.009,0.385,-0.423,0.117,-0.385
2.6,1.1,4.0,1.6,4.9,2.9,4.3,4.6,4.0,60.9,94.9,40.9,46.6,-0.535,0.322,-0.359,-0.225,0.236,0.043,0.374,0.452
2.6,1.8,1.4,2.3,4.9,3.0,4.7,3.0,4.3,64.0,53.1,54.4,10.3,-0.18,0.242,0.547,0.368,0.054,-0.116,0.555,0.358
2.6,1.6,3.6,3.9,1.5,4.5,3.0,3.4,3.4,80.3,65.2,98.5,33.2,-0.022,0.619,0.591,-0.06,-0.163,0.313,0.073,-0.317
