freq,WS1,WS2,W1,W2,LS1,LS2,L1,L2,S11r,S11i,S21r,S21i,S31r,S31i,S41r,S41i
2.0,4.3,1.8,1.2,4.0,13.0,14.5,20.0,41.5,-0.4443,0.1965,-0.3959,0.4136,0.4876,-0.0011,-0.4232,0.0468
2.0,3.5,3.3,1.8,1.1,17.3,18.1,17.5,11.0,-0.3642,-0.1468,-0.4316,-0.0403,0.4288,0.232,-0.6103,0.1158
2.0,1.2,4.2,2.1,2.9,18.8,21.0,39.3,27.8,-0.9028,-0.1262,-0.0007,0.0784,0.0121,-0.0479,-0.0612,0.3754
2.0,3.2,2.5,3.2,3.8,21.9,15.2,21.5,39.2,-0.942,0.2705,-0.0224,0.1341,0.0345,-0.0742,0.0046,0.0631
2.0,2.7,4.0,3.1,3.7,21.5,17.1,12.0,22.7,-0.895,-0.0186,-0.1665,-0.1082,0.173,0.1791,-0.0698,0.2534
2.0,2.2,4.7,4.3,2.6,13.2,15.6,24.0,16.0,-0.4225,0.0816,-0.1498,-0.271,0.0856,0.4845,-0.4465,-0.5127
2.0,4.7,3.3,4.7,5.0,4.9,5.3,23.8,25.9,-0.3258,-0.2794,-0.1221,-0.2375,-0.3696,0.7112,-0.1944,-0.2205
2.0,4.3,2.5,3.9,4.2,10.1,9.1,13.9,16.7,-0.2236,0.5155,-0.2726,-0.1595,-0.5913,-0.256,-0.0117,-0.3989
2.0,1.8,2.7,1.6,2.5,13.1,11.3,37.8,39.3,-0.5938,-0.0306,-0.3278,0.376,0.3809,-0.1848,-0.3472,0.2889
2.0,2.9,4.1,1.3,3.9,17.2,4.5,41.5,25.1,-0.7256,0.3231,-0.3572,0.0851,0.4134,0.1512,-0.1532,0.0738
2.0,3.7,4.4,4.4,4.9,19.9,7.5,39.4,29.6,-0.9378,0.1282,-0.1258,0.1687,0.134,-0.1253,-0.0245,0.1331
2.0,2.6,2.3,2.6,4.7,15.0,8.6,36.5,18.7,-0.6778,-0.0582,-0.3439,-0.0921,0.0959,0.6,-0.1171,-0.1157
2.0,4.7,4.3,1.4,1.9,6.3,18.7,42.8,40.1,-0.874,-0.0045,0.0098,0.1944,0.0264,-0.1277,-0.0342,0.4048
2.0,4.7,1.2,3.2,3.1,6.6,9.8,19.2,23.9,0.0292,-0.0276,-0.0386,-0.0628,-0.6659,0.4253,-0.367,-0.467
2.0,1.1,4.7,4.2,3.1,9.5,12.5,10.8,10.5,-0.4514,0.6505,-0.1827,-0.2695,-0.2888,-0.3532,0.2109,-0.0846
2.0,1.4,4.7,1.7,3.7,11.7,3.7,19.2,16.1,-0.0149,0.3356,0.0132,-0.567,-0.6088,-0.0162,-0.4278,-0.0165
2.0,4.1,3.4,2.2,4.0,11.8,9.2,6.6,11.9,-0.5566,0.5574,-0.1831,-0.2885,-0.2506,-0.3311,-0.0357,-0.2906
2.0,3.8,3.2,4.4,3.2,19.2,8.3,37.0,30.0,-0.9395,0.073,-0.155,0.1442,0.1613,-0.1008,-0.0324,0.1498
2.0,4.1,3.0,2.3,3.7,4.8,14.1,27.9,11.4,-0.2562,0.4539,-0.2454,-0.6838,-0.3224,0.2221,0.0404,0.1822
2.0,3.7,1.9,4.4,3.8,17.2,12.2,23.8,16.5,-0.7401,-0.2776,-0.1657,-0.176,0.0087,0.4917,-0.1837,0.1629
2.0,4.2,2.3,3.7,3.4,5.4,18.3,17.6,19.7,-0.1721,-0.0889,-0.0335,-0.149,-0.3557,0.511,0.013,-0.7302
2.0,4.7,4.1,1.3,4.4,3.9,3.4,23.6,5.5,-0.221,0.3424,0.2776,-0.514,-0.4675,-0.1551,-0.4683,-0.1537
2.0,4.1,2.8,3.5,4.4,20.9,2.5,7.8,8.9,-0.2796,0.5499,0.0358,-0.0586,-0.1883,-0.0919,-0.6555,-0.2778
2.0,1.5,4.3,3.0,2.0,21.0,7.4,12.0,20.3,-0.0624,-0.1289,0.0646,-0.0087,-0.2286,0.2562,-0.8847,0.0887
2.0,4.4,1.1,3.4,1.3,10.5,17.6,25.7,28.8,-0.268,-0.1913,-0.3257,-0.2274,0.3028,0.3593,-0.7044,0.0142
2.0,4.6,3.3,1.7,4.7,3.7,9.9,19.4,43.3,-0.4279,0.2705,-0.4012,0.2483,0.2909,0.4229,-0.2835,-0.4064
2.0,3.8,2.2,1.3,2.5,12.5,15.3,13.2,9.4,-0.0093,0.4938,-0.0071,-0.4779,-0.6164,-0.0065,-0.3643,-0.0186
2.0,4.4,2.9,1.5,4.2,11.0,12.6,31.6,16.3,-0.2297,0.1942,-0.7445,-0.2597,-0.2228,0.4192,0.1921,-0.0842
2.0,4.2,2.4,3.1,3.1,16.0,2.7,29.5,33.1,-0.8118,0.0362,-0.3659,-0.0034,0.3546,0.1974,-0.1592,0.0836
2.0,2.1,3.2,1.5,2.3,5.9,7.8,16.8,11.0,-0.0714,0.5561,0.04,-0.4623,-0.5146,-0.2632,-0.2843,-0.2179
2.0,1.9,4.4,3.5,2.0,4.4,19.4,35.6,22.0,-0.0557,0.1291,-0.1369,0.0017,0.1404,0.0511,-0.9348,-0.2221
2.0,4.9,4.0,1.8,1.9,6.4,18.5,30.2,10.4,0.1839,0.0354,-0.3718,0.0356,-0.0091,0.3213,0.0452,-0.8317
2.0,3.1,4.3,2.8,1.6,20.6,6.2,25.0,5.1,-0.8898,0.1152,-0.3025,-0.2144,-0.1379,0.0679,0.046,0.1405
2.0,4.6,4.5,2.5,4.9,16.0,15.8,19.0,24.3,-0.5135,0.0084,-0.4717,-0.0184,0.4727,0.2473,-0.4552,0.0173
2.0,4.2,5.0,1.3,1.7,4.0,14.7,32.1,28.8,-0.0611,-0.166,-0.3071,0.1343,0.3019,0.1167,-0.8399,-0.1679
2.0,3.5,2.7,4.1,4.1,5.5,13.2,33.6,16.6,-0.5415,-0.0799,-0.1466,-0.2499,-0.027,0.6397,-0.2303,-0.3728
2.0,4.8,1.0,1.2,3.2,13.2,13.8,36.1,37.4,-0.6972,0.1648,-0.2317,0.4462,0.3084,-0.2033,-0.1831,0.2249
2.0,3.4,1.6,1.7,2.0,8.7,15.1,22.7,33.5,-0.3589,-0.0795,-0.4692,-0.0464,0.3753,0.4344,-0.5124,-0.1877
2.0,3.3,4.1,4.0,2.0,2.6,13.1,21.7,26.7,-0.3492,0.0206,0.0389,-0.2351,-0.1601,0.483,-0.3839,-0.6352
